month,inflation
1996-09,3.00457
1996-10,3.06189
1996-11,3.25309
1996-12,3.37882
1997-01,3.03814
1997-02,3.03226
1997-03,2.76527
1997-04,2.43434
1997-05,2.23785
1997-06,2.23357
1997-07,2.16561
1997-08,2.29008
1997-09,2.21940
1997-10,2.08597
1997-11,1.89036
1997-12,1.69705
1998-01,1.63112
1998-02,1.44020
1998-03,1.37672
1998-04,1.43840
1998-05,1.68856
1998-06,1.62297
1998-07,1.74564
1998-08,1.61692
1998-09,1.42680
1998-10,1.48607
1998-11,1.48423
1998-12,1.60692
1999-01,1.66667
1999-02,1.66667
1999-03,1.72840
1999-04,2.28113
1999-05,2.09102
1999-06,1.96560
1999-07,2.14461
1999-08,2.26438
1999-09,2.62997
1999-10,2.56254
1999-11,2.62035
1999-12,2.67640
2000-01,2.79296
2000-02,3.21797
2000-03,3.76214
2000-04,3.01386
2000-05,3.13253
2000-06,3.73494
2000-07,3.59928
2000-08,3.35129
2000-09,3.45650
2000-10,3.45033
2000-11,3.44418
2000-12,3.43602
2001-01,3.72120
2001-02,3.52941
2001-03,2.98246
2001-04,3.21826
2001-05,3.56308
2001-06,3.19396
2001-07,2.72148
2001-08,2.72148
2001-09,2.59217
2001-10,2.12766
2001-11,1.89437
2001-12,1.60367
2002-01,1.19590
2002-02,1.13636
2002-03,1.36286
2002-04,1.64399
2002-05,1.24083
2002-06,1.06922
2002-07,1.46561
2002-08,1.74746
2002-09,1.51600
2002-10,2.02703
2002-11,2.25352
2002-12,2.48027
2003-01,2.75746
2003-02,3.14607
2003-03,3.02521
2003-04,2.17513
2003-05,1.89415
2003-06,1.94878
2003-07,2.05556
2003-08,2.21607
2003-09,2.37832
2003-10,2.04194
2003-11,1.92837
2003-12,2.03520
2004-01,2.02629
2004-02,1.68845
2004-03,1.74008
2004-04,2.29258
2004-05,2.89776
2004-06,3.16767
2004-07,2.93958
2004-08,2.54743
2004-09,2.53917
2004-10,3.19091
2004-11,3.62162
2004-12,3.34232
2005-01,2.84487
2005-02,3.05303
2005-03,3.20684
2005-04,3.36179
2005-05,2.86929
2005-06,2.54103
2005-07,3.06716
2005-08,3.64693
2005-09,4.74183
2005-10,4.35010
2005-11,3.33855
2005-12,3.33855
2006-01,4.01879
2006-02,3.63825
2006-03,3.41792
2006-04,3.61384
2006-05,3.97727
2006-06,4.18172
2006-07,4.10467
2006-08,3.92657
2006-09,2.01207
2006-10,1.40633
2006-11,1.96870
2006-12,2.52398
2007-01,2.07577
2007-02,2.42026
2007-03,2.79820
2007-04,2.59292
2007-05,2.70989
2007-06,2.69277
2007-07,2.31789
2007-08,1.89745
2007-09,2.83383
2007-10,3.61070
2007-11,4.37327
2007-12,4.10881
2008-01,4.29470
2008-02,4.14296
2008-03,3.97490
2008-04,3.90376
2008-05,4.08841
2008-06,4.93597
2008-07,5.49751
2008-08,5.30802
2008-09,4.95332
2008-10,3.73106
2008-11,1.09992
2008-12,-0.02223
2009-01,-0.11359
2009-02,0.00846
2009-03,-0.44648
2009-04,-0.57632
2009-05,-1.01576
2009-06,-1.22917
2009-07,-1.95876
2009-08,-1.48384
2009-09,-1.37794
2009-10,-0.22397
2009-11,1.91459
2009-12,2.81412
2010-01,2.62111
2010-02,2.15134
2010-03,2.28617
2010-04,2.20677
2010-05,2.00355
2010-06,1.12156
2010-07,1.34078
2010-08,1.15018
2010-09,1.11831
2010-10,1.16670
2010-11,1.08454
2010-12,1.43779
2011-01,1.70078
2011-02,2.12490
2011-03,2.61924
2011-04,3.07723
2011-05,3.45897
2011-06,3.50232
2011-07,3.57988
2011-08,3.75500
2011-09,3.81262
2011-10,3.52227
2011-11,3.45143
2011-12,3.06207
2012-01,3.00877
2012-02,2.89818
2012-03,2.58288
2012-04,2.27316
2012-05,1.73794
2012-06,1.65387
2012-07,1.41751
2012-08,1.68593
2012-09,1.94972
2012-10,2.15568
2012-11,1.79602
2012-12,1.75950
2013-01,1.68406
2013-02,2.01814
2013-03,1.51875
2013-04,1.13881
2013-05,1.39039
2013-06,1.71579
2013-07,1.88547
2013-08,1.53881
2013-09,1.09473
2013-10,0.87680
2013-11,1.23287
2013-12,1.51284
2014-01,1.55776
2014-02,1.12047
2014-03,1.61269
2014-04,2.01513
2014-05,2.16695
2014-06,2.05898
2014-07,1.97424
2014-08,1.71510
2014-09,1.68405
2014-10,1.60954
2014-11,1.23152
2014-12,0.65312
2015-01,-0.22993
2015-02,-0.08703
2015-03,-0.02203
2015-04,-0.10403
2015-05,0.03503
2015-06,0.17957
2015-07,0.22569
2015-08,0.24130
2015-09,0.00884
2015-10,0.12762
2015-11,0.43632
2015-12,0.63872
2016-01,1.23750
2016-02,0.84728
2016-03,0.89162
2016-04,1.17263
2016-05,1.07848
2016-06,1.07929
2016-07,0.86836
2016-08,1.05532
2016-09,1.54864
2016-10,1.68592
2016-11,1.68433
2016-12,2.05080
2017-01,2.51039
2017-02,2.81036
2017-03,2.44120
2017-04,2.17622
2017-05,1.85634
2017-06,1.64057
2017-07,1.72511
2017-08,1.92812
2017-09,2.18057
2017-10,2.02076
2017-11,2.17249
2017-12,2.12993
2018-01,2.15132
2018-02,2.26347
2018-03,2.33095
2018-04,2.47100
2018-05,2.78192
2018-06,2.80755
2018-07,2.85412
2018-08,2.64292
2018-09,2.33206
2018-10,2.49203
2018-11,2.14733
2018-12,2.00238
2019-01,1.48759
2019-02,1.51886
2019-03,1.88319
2019-04,2.00058
2019-05,1.79591
2019-06,1.67119
2019-07,1.82633
2019-08,1.73764
2019-09,1.68450
2019-10,1.73397
2019-11,2.09229
2019-12,2.31953
2020-01,2.59977
2020-02,2.34132
2020-03,1.49404
2020-04,0.31305
2020-05,0.19820
2020-06,0.71666
2020-07,0.99686
2020-08,1.28107
2020-09,1.39102
2020-10,1.23039
2020-11,1.17575
2020-12,1.32042
2021-01,1.35532
2021-02,1.66750
2021-03,2.62365
2021-04,4.13737
2021-05,4.92647
2021-06,5.31742
2021-07,5.26917
2021-08,5.18132
2021-09,5.36352
2021-10,6.22659
2021-11,6.86556
2021-12,7.15946
2022-01,7.57808
2022-02,7.94922
2022-03,8.54078
2022-04,8.23516
2022-05,8.53005
2022-06,8.99930
2022-07,8.44778
2022-08,8.21626
2022-09,8.20575
2022-10,7.75726
2022-11,7.13138
2022-12,6.41083
2023-01,6.34030
2023-02,5.95765
2023-03,4.93135
2023-04,4.94695
2023-05,4.12531
2023-06,3.05925
2023-07,3.28033
2023-08,3.71864
2023-09,3.69508
2023-10,3.24654
2023-11,3.13986
2023-12,3.32220
2024-01,3.10794
2024-02,3.16642
2024-03,3.46900
2024-04,3.35405
2024-05,3.23887
2024-06,2.97009
2024-07,2.93846
2024-08,2.61091
2024-09,2.43254
2024-10,2.57140
2024-11,2.71417
2024-12,2.87237
2025-01,2.99941
2025-02,2.81427
2025-03,2.40559
2025-04,2.33375
2025-05,2.37593
2025-06,2.67268
2025-07,2.73180

