Month,Gold
1995-12,387.440
1996-01,399.450
1996-02,404.760
1996-03,396.210
1996-04,392.850
1996-05,391.930
1996-06,385.270
1996-07,383.470
1996-08,387.350
1996-09,383.140
1996-10,381.070
1996-11,377.850
1996-12,369.000
1997-01,355.110
1997-02,346.580
1997-03,351.810
1997-04,344.470
1997-05,343.840
1997-06,340.760
1997-07,324.100
1997-08,324.010
1997-09,322.820
1997-10,324.870
1997-11,306.040
1997-12,288.740
1998-01,289.100
1998-02,297.490
1998-03,295.940
1998-04,308.290
1998-05,299.100
1998-06,292.320
1998-07,292.870
1998-08,284.110
1998-09,288.980
1998-10,295.930
1998-11,294.120
1998-12,291.680
1999-01,287.080
1999-02,287.330
1999-03,285.960
1999-04,282.620
1999-05,276.440
1999-06,261.310
1999-07,256.080
1999-08,256.690
1999-09,264.740
1999-10,310.720
1999-11,293.180
1999-12,283.070
2000-01,284.320
2000-02,299.860
2000-03,286.390
2000-04,279.690
2000-05,275.190
2000-06,285.730
2000-07,281.590
2000-08,274.470
2000-09,273.680
2000-10,270.000
2000-11,266.010
2000-12,271.450
2001-01,265.490
2001-02,261.870
2001-03,263.030
2001-04,260.480
2001-05,272.360
2001-06,270.230
2001-07,267.530
2001-08,272.390
2001-09,283.420
2001-10,283.060
2001-11,276.160
2001-12,275.850
2002-01,281.510
2002-02,295.500
2002-03,294.060
2002-04,302.680
2002-05,314.490
2002-06,321.180
2002-07,313.290
2002-08,310.260
2002-09,319.140
2002-10,316.560
2002-11,319.070
2002-12,331.920
2003-01,356.859
2003-02,358.970
2003-03,340.550
2003-04,328.180
2003-05,355.683
2003-06,356.352
2003-07,351.020
2003-08,359.768
2003-09,378.945
2003-10,378.920
2003-11,389.910
2003-12,406.953
2004-01,413.788
2004-02,404.878
2004-03,406.667
2004-04,403.260
2004-05,383.779
2004-06,392.373
2004-07,398.091
2004-08,400.510
2004-09,405.275
2004-10,420.464
2004-11,439.375
2004-12,442.079
2005-01,424.030
2005-02,423.350
2005-03,433.850
2005-04,429.233
2005-05,421.873
2005-06,430.657
2005-07,424.479
2005-08,437.930
2005-09,456.048
2005-10,469.898
2005-11,476.666
2005-12,510.097
2006-01,549.864
2006-02,554.995
2006-03,557.093
2006-04,610.653
2006-05,675.393
2006-06,596.145
2006-07,633.710
2006-08,632.593
2006-09,598.186
2006-10,585.780
2006-11,627.827
2006-12,629.791
2007-01,631.166
2007-02,664.745
2007-03,654.895
2007-04,679.368
2007-05,667.310
2007-06,655.660
2007-07,665.380
2007-08,665.411
2007-09,712.653
2007-10,754.604
2007-11,806.248
2007-12,803.203
2008-01,889.595
2008-02,922.298
2008-03,968.434
2008-04,909.705
2008-05,888.663
2008-06,889.488
2008-07,939.772
2008-08,839.025
2008-09,829.932
2008-10,806.620
2008-11,760.863
2008-12,816.092
2009-01,858.690
2009-02,943.000
2009-03,924.273
2009-04,890.200
2009-05,928.645
2009-06,945.670
2009-07,934.228
2009-08,949.375
2009-09,996.591
2009-10,1043.159
2009-11,1127.036
2009-12,1134.724
2010-01,1117.963
2010-02,1095.413
2010-03,1113.337
2010-04,1148.688
2010-05,1205.434
2010-06,1232.920
2010-07,1192.966
2010-08,1215.810
2010-09,1270.977
2010-10,1342.024
2010-11,1369.886
2010-12,1390.553
2011-01,1360.460
2011-02,1374.680
2011-03,1423.260
2011-04,1480.890
2011-05,1512.580
2011-06,1529.360
2011-07,1572.750
2011-08,1759.010
2011-09,1772.140
2011-10,1666.430
2011-11,1739.000
2011-12,1639.970
2012-01,1654.050
2012-02,1744.820
2012-03,1675.950
2012-04,1649.200
2012-05,1589.040
2012-06,1598.760
2012-07,1594.290
2012-08,1630.310
2012-09,1744.810
2012-10,1746.580
2012-11,1721.640
2012-12,1684.762
2013-01,1671.848
2013-02,1627.570
2013-03,1593.086
2013-04,1487.857
2013-05,1414.027
2013-06,1343.350
2013-07,1285.516
2013-08,1351.742
2013-09,1348.600
2013-10,1316.580
2013-11,1275.860
2013-12,1221.512
2014-01,1244.270
2014-02,1299.580
2014-03,1336.080
2014-04,1298.450
2014-05,1288.740
2014-06,1279.100
2014-07,1310.590
2014-08,1295.130
2014-09,1236.550
2014-10,1222.490
2014-11,1175.330
2014-12,1200.620
2015-01,1250.750
2015-02,1227.080
2015-03,1178.630
2015-04,1198.930
2015-05,1198.630
2015-06,1181.500
2015-07,1128.310
2015-08,1117.930
2015-09,1124.770
2015-10,1159.250
2015-11,1086.440
2015-12,1075.740
2016-01,1097.910
2016-02,1199.500
2016-03,1245.140
2016-04,1242.260
2016-05,1260.950
2016-06,1276.400
2016-07,1336.660
2016-08,1340.170
2016-09,1326.610
2016-10,1266.550
2016-11,1238.350
2016-12,1157.360
2017-01,1192.100
2017-02,1234.200
2017-03,1231.420
