Month,GoldYearlyChange,FedRate,inflation,s&pYearlyChange
2023-10,15.12812,5.33,3.24654,8.31151
2023-11,15.0162,5.33,3.13986,11.95286
2023-12,12.71898,5.33,3.32220,24.2305
2024-01,7.18392,5.33,3.10794,18.86499
2024-02,9.0966,5.33,3.16642,28.36467
2024-03,12.82356,5.33,3.46900,27.86453
2024-04,16.58591,5.33,3.35405,20.77501
2024-05,18.02091,5.33,3.23887,26.26136
2024-06,19.74059,5.33,2.97009,22.69694
2024-07,22.92032,5.33,2.93846,20.33881
2024-08,28.74081,5.33,2.61091,25.3067
2024-09,34.16582,5.13,2.43254,34.38463
2024-10,40.38252,4.83,2.57140,36.04488
2024-11,33.6181,4.64,2.71417,32.06314
2024-12,30.68977,4.48,2.87237,23.30901
2025-01,33.21714,4.33,2.99941,24.65882
2025-02,43.07398,4.33,2.81427,16.84036
2025-03,38.24079,4.33,2.40559,6.80389
2025-04,38.01025,4.33,2.33375,10.5918
2025-05,40.76168,4.33,2.37593,12.01665
2025-06,44.11117,4.33,2.67268,13.63378
2025-07,39.27737,4.33,2.73180,14.79619
